project_name;agent;shield;shield_memory;nu;counted_episodes;average_episode_length;shield_calls;eval_elapsed_time;reward;goal_probability;bad_outcome_prob;blocked_actions;added_nonoptimal_actions;initial_node_value;tree_size
test-corridor;safe-iter-4000;self-constructing-unsafe;0;0.2;39117;7.813150292711609;365875;36.83980107307434;80.54201461051228;0.8853695324283559;0.12708610000959467;0;100;0.1249722;3033
slippy-drone;safe-iter-1000;self-constructing-unsafe;0;0.01;19379;23.451106868259455;491605;71.24214100837708;75.9861710399437;0.9975230920068116;0.013552246670497833;0;4229;0.009925927553171156;128968
slippy-drone;safe-iter-1000;self-constructing-unsafe;0;0.05;19392;23.462974422442244;491585;64.09120106697083;76.0256780504;0.9977825907590759;0.013681951924256195;0;4298;0.009887719454148673;129261
slippy-drone;safe-iter-1000;self-constructing-unsafe;0;0.2;19411;23.42790170521869;491567;63.71107220649719;75.83447516898603;0.9966513832363093;0.016602482342205554;0;4146;0.009934799274383227;128540
collect;safe-iter-500;self-constructing-unsafe;0;0.2;3072;49.666666666666664;204800;190.36671900749207;-50.01790237426758;0.0;0.019938151041666668;0;2033;0.00244925943422153;136016
dpm;uniform_random;self-constructing-unsafe;0;0.01;21703;43.64880431276782;1018936;701.5183212757111;2.8252776252318763;0.22190480578721836;0.02876917662013001;0;183698;0.0064403288190080865;773464
collect;uniform_random;self-constructing-unsafe;0;0.01;3072;49.666666666666664;204800;440.44509983062744;-48.96224021911621;0.0;0.2725694444444445;41030;7104;0.01;175109
test-corridor;uniform_random;self-constructing-unsafe;0;0.05;6412;48.31768558951965;409249;907.9772052764893;-44.43402966840224;0.04413599500935746;0.07211764621706146;349112;5240;0.05;108547
slippy-drone;uniform_random;self-constructing-unsafe;0;0.01;9330;49.61586280814576;511798;715.9047060012817;-51.444908995797014;0.0010718113612004287;0.25900724412044657;0;50794;0.00021773504489926447;429832
dpm;uniform_random;self-constructing-unsafe;0;0.05;21677;43.69174701296305;1019015;685.5772221088409;2.826082942120323;0.21852654887668957;0.031086864178657393;0;183660;0.0064377244350300004;773814
collect;uniform_random;self-constructing-unsafe;0;0.05;3073;49.659616010413274;204798;332.24089002609253;-51.40676795842785;0.0;0.78584854783148;2303;43506;0.05;175067
slippy-drone;uniform_random;self-constructing-unsafe;0;0.05;9346;49.58945003209929;511779;697.6766765117645;-51.7078968046463;0.0005349882302589343;0.2651435800937682;0;50157;0.00023894088190878362;429324
test-corridor;uniform_random;self-constructing-unsafe;0;0.1;7048;44.51319523269012;408361;925.046980381012;-31.72219105367628;0.13493189557321225;0.11833476086099284;324825;10886;0.1;140560
collect;uniform_random;self-constructing-unsafe;0;0.2;3072;49.666666666666664;204799;348.00847864151;-51.41015625;0.0;0.7870279947916666;0;45811;0.050743191965570464;175158
dpm;uniform_random;self-constructing-unsafe;0;0.2;21731;43.57682573282408;1018876;670.2666430473328;2.806957793583571;0.2256683999815931;0.027456212962931343;0;183369;0.006451882642078828;773411
slippy-drone;uniform_random;self-constructing-unsafe;0;0.2;9342;49.555341468636264;511769;676.5624945163727;-51.66955618836899;0.001177478056090773;0.2715790126615222;0;50647;0.00022653961542139716;429623
test-corridor;uniform_random;self-constructing-unsafe;0;0.2;7816;41.0574462640737;407256;841.9742939472198;-19.041453839080482;0.23068065506653018;0.2114918415224304;286564;22255;0.2;167386
