project_name;agent;shield;shield_memory;nu;safety_probability;full_safety_probability;goal_reachability;reward;shield_calls;blocked_actions;evaluation_time
dpm;greedy-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.09563394176255481;0.09563870300795416;0.2090537042512901;6.209219731757298;44.63231464070622;4.190111397992958;150.36117577552795
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010078201034707922;0.010078201034707922;0.8738450303626067;60.79301227814169;26.350874730442982;4.469175011287038;36.305503368377686
test-corridor;uniform_random;constructed-self-constructing-unsafe;0;0.2;0.20000000000000015;0.20000000000000015;0.19833387593615717;-21.787345582053987;41.32397203787187;32.53766000814902;158.03252744674683
collect;greedy-iter-500;constructed-self-constructing-unsafe;0;0.2;0.19999999996403178;0.19999999996403178;0.7456410326342984;33.11825155674658;41.136431594462984;10.635560592068126;202.98479914665222
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010079255186357772;0.010079255186357772;0.8738960371621193;60.7994356152627;26.349488333811944;4.467187815026524;36.94962239265442
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010090467624437176;0.010090467624437176;0.8741679490044247;60.833539460936535;26.342289917883278;4.456383085328976;37.134252071380615
dpm;greedy-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.09568066233997236;0.09568544637089679;0.20904952178477204;6.211738586200247;44.632353114498976;4.187546448985252;156.84222269058228
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010094485329691658;0.010094485329691658;0.8742961749763918;60.84933147901533;26.339205766818054;4.451587138457185;39.61070728302002
test-corridor;uniform_random;constructed-self-constructing-unsafe;0;0.2;0.20000000000000015;0.20000000000000015;0.1983455234455728;-21.785786594921966;41.32352507006712;32.536787435191016;158.76180291175842
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.01010163630834532;0.01010163630834532;0.8746125039789951;60.888831589236055;26.33100820308622;4.439175702717417;37.77876877784729
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010103476542610993;0.010103476542610993;0.8747408823722969;60.904874590554385;26.327614662287193;4.434238939060744;38.08050847053528
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010109908555494002;0.010109908555494002;0.8748258158966362;60.915415809164415;26.32555039557368;4.4308207735297565;39.446630001068115
dpm;greedy-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.0957217770832556;0.09572658346658866;0.20904588114762548;6.2138656189153;44.63238573573958;4.185292154430378;154.0384681224823
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010115867910357668;0.010115867910357668;0.8750372416630103;60.941643769643505;26.320212641172063;4.4226650075841984;38.60559630393982
test-corridor;uniform_random;constructed-self-constructing-unsafe;0;0.2;0.20000000000000015;0.20000000000000015;0.19841838900955247;-21.775663686269162;41.32058351219766;32.53270743822942;167.036785364151
collect;greedy-iter-500;constructed-self-constructing-unsafe;0;0.2;0.19999999996403178;0.19999999996403178;0.7456410326342984;33.11825155674658;41.13643159446301;10.635560592068128;208.25143456459045
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010125166899491148;0.010125166899491148;0.8752388980262871;60.966812353540405;26.315034590553044;4.414830102613514;39.57673907279968
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010132062081623778;0.010132062081623778;0.8754155651617673;60.988658960723626;26.310692064449736;4.408039823704548;39.26351237297058
dpm;greedy-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.09576946589625722;0.09577429540498619;0.2090417972249778;6.216288862682527;44.63242065712798;4.182683752274073;153.38029074668884
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010138748744730898;0.010138748744730898;0.8756575774365407;61.018666384674546;26.30460909419891;4.398852671305676;41.1394157409668
test-corridor;uniform_random;constructed-self-constructing-unsafe;0;0.2;0.20000000000000015;0.20000000000000015;0.1984548786107588;-21.770713057710523;41.319189980900944;32.53049956361432;161.0671398639679
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010143798026609491;0.010143798026609491;0.8758825257477322;61.046591810642006;26.298760972072728;4.389873624211791;40.2509081363678
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010156918818074958;0.010156918818074958;0.8760907728235569;61.07260554457364;26.293482416575987;4.381407536092314;40.50784206390381
dpm;greedy-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.09581876100865139;0.09582361338963546;0.20903742187416366;6.218777944254051;44.632459660210436;4.17998240539726;154.96845769882202
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010159065990804022;0.010159065990804022;0.876239009743292;61.09111758324288;26.2895291697944;4.37547430362971;40.67482233047485
test-corridor;uniform_random;constructed-self-constructing-unsafe;0;0.2;0.20000000000000015;0.20000000000000015;0.19848160082127386;-21.7671283901361;41.318201421345236;32.52878484038819;161.51895809173584
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010165530449375073;0.010165530449375073;0.8764609050856664;61.11863575310693;26.28385523488318;4.366884145941889;43.418248653411865
collect;greedy-iter-500;constructed-self-constructing-unsafe;0;0.2;0.19999999996403178;0.19999999996403178;0.7456410326342984;33.11825155674658;41.13643159446299;10.635560592068128;199.38562440872192
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010172599954544864;0.010172599954544864;0.8766443412224908;61.14129301575049;26.279281000115372;4.359787442514534;41.0566508769989
dpm;greedy-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.09586088283380695;0.09586575564989983;0.20903380403624772;6.2209462249847;44.63249080520299;4.177679034366725;157.58592557907104
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.01017908537695923;0.01017908537695923;0.8768192701041195;61.16313872457144;26.274771883013596;4.353014686686706;41.825156688690186
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010186265072280423;0.010186265072280423;0.8769822975250643;61.183578652025005;26.270508463343788;4.34657249789034;42.763585329055786
test-corridor;uniform_random;constructed-self-constructing-unsafe;0;0.2;0.20000000000000015;0.20000000000000015;0.1984900375493621;-21.76621495468169;41.31799198549728;32.52721316558652;164.97891640663147
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010195084670440755;0.010195084670440755;0.8772295107930318;61.21432572341359;26.26399434993672;4.336502253006518;42.35352420806885
dpm;greedy-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.09591103973196753;0.09591593433006032;0.20902943079572223;6.223556002078836;44.63252907419147;4.174932408855089;159.24184036254883
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.01020271347822961;0.01020271347822961;0.8774164884395964;61.237694255835095;26.2590427709069;4.32897854274371;42.64581799507141
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.01021154016175207;0.01021154016175207;0.8776031863638982;61.26094543548563;26.25434192211156;4.321750153900413;43.03175497055054
test-corridor;uniform_random;constructed-self-constructing-unsafe;0;0.2;0.20000000000000015;0.20000000000000015;0.19848499048106838;-21.767112627216;41.31829200597825;32.52665794761262;162.62844252586365
collect;greedy-iter-500;constructed-self-constructing-unsafe;0;0.2;0.1999999999965152;0.1999999999965152;0.7456456875466317;33.11873732336932;41.136404946894416;10.635434453819867;213.4084756374359
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010213451623276398;0.010213451623276398;0.8777065152205314;61.27372000493105;26.251804886490227;4.3179036435118325;43.815314531326294
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010216564662091612;0.010216564662091612;0.8777918871035587;61.284328196481326;26.24965128553575;4.314639134420814;43.69540524482727
dpm;greedy-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.0959645265525252;0.09596944424418338;0.20902477958083915;6.226273164994714;44.63256924164202;4.17200517073966;159.33740305900574
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010222054663617782;0.010222054663617782;0.8779422589411371;61.30279929566804;26.246009143465784;4.308967252084803;45.33786106109619
test-corridor;uniform_random;constructed-self-constructing-unsafe;0;0.2;0.20000000000000015;0.20000000000000015;0.19849670875549125;-21.7655761821845;41.31785492062189;32.52578129168935;164.40213251113892
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010223121885876662;0.010223121885876662;0.8780039897760339;61.310377750047216;26.244500084406653;4.3065827546396385;45.121166467666626
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.0102274327192035;0.0102274327192035;0.8781437310120148;61.327635455055486;26.241068565427927;4.30135129851773;44.675354957580566
dpm;greedy-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.09601497742022956;0.09601991412391964;0.20902021277204053;6.2288855675842765;44.63261081207835;4.1692350923524595;160.74493265151978
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.01023282761892011;0.01023282761892011;0.8783309673188106;61.35070470255508;26.23648342689744;4.294189369205287;45.30687952041626
test-corridor;uniform_random;constructed-self-constructing-unsafe;0;0.2;0.20000000000000015;0.20000000000000015;0.1985395516633568;-21.75983873831678;41.316262939729704;32.522962648254506;167.3584339618683
collect;greedy-iter-500;constructed-self-constructing-unsafe;0;0.2;0.1999999999976196;0.1999999999976196;0.7456456875475356;33.11873732345649;41.136404946893336;10.635434453803434;198.4585964679718
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010242799795322102;0.010242799795322102;0.8785582045823896;61.378977175538424;26.23077143327484;4.285452708486964;45.24403667449951
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010249996534457805;0.010249996534457805;0.8787259764993472;61.3998095927699;26.226670722144448;4.279173032930989;45.55965256690979
dpm;greedy-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.09606150845274322;0.09606646769857899;0.20901606613237067;6.231374670271146;44.63264845259581;4.166683598504009;159.68529295921326
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010256865765218101;0.010256865765218101;0.8789591409389917;61.428667526124585;26.220926072092524;4.270406896437648;47.991771936416626
test-corridor;uniform_random;constructed-self-constructing-unsafe;0;0.2;0.20000000000000015;0.20000000000000015;0.19855294441927845;-21.758025340693393;41.31569801655858;32.52175310022701;172.54392504692078
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010264195672406672;0.010264195672406672;0.8792048583824582;61.459132613603444;26.214804588754557;4.2611466015121096;46.48830056190491
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010272159217727474;0.010272159217727474;0.8793247710508236;61.47387189214553;26.21201356578582;4.256522667751459;46.57331562042236
dpm;greedy-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.09609798708148135;0.0961029674368222;0.20901283655662883;6.233360903188283;44.63267801305246;4.164668330854874;163.4203441143036
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010281812299064205;0.010281812299064205;0.8795670583526202;61.50403705405927;26.205683725818716;4.246836698930666;47.312129497528076
collect;greedy-iter-500;constructed-self-constructing-unsafe;0;0.2;0.1999999999976196;0.1999999999976196;0.7456456875475356;33.11873732345649;41.13640494689332;10.635434453803448;201.30740976333618
test-corridor;uniform_random;constructed-self-constructing-unsafe;0;0.2;0.20000000000000015;0.20000000000000015;0.19863723334658767;-21.7463275451026;41.312295756526574;32.516823351308034;168.3820424079895
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010286942734690267;0.010286942734690267;0.8797504848150985;61.52688783907005;26.201031600123848;4.2399678394933895;48.814645528793335
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010292662655182255;0.010292662655182255;0.879853774435508;61.5396838088001;26.198535311079066;4.235955314997781;47.6459641456604
dpm;greedy-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.0961614535387646;0.09616645380368344;0.20900696692951076;6.23682748855652;44.63273341824539;4.1611781236577805;165.84045791625977
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.01029924681573384;0.01029924681573384;0.8800098188517775;61.55907173652291;26.19468736177107;4.229966377787577;48.17043709754944
test-corridor;uniform_random;constructed-self-constructing-unsafe;0;0.2;0.20000000000000015;0.20000000000000015;0.1986311975053606;-21.747262871565137;41.31256781359058;32.51666413567562;171.24447989463806
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010305814684442909;0.010305814684442909;0.880143567744316;61.575724985138535;26.19134169223791;4.224816951180555;48.606786489486694
slippy-drone;safe-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.010309783623023578;0.010309783623023578;0.8803958597164788;61.60707103063482;26.18485348267839;4.215158515143744;49.42615628242493
dpm;greedy-iter-1000;constructed-self-constructing-unsafe;0;0.2;0.09620277233941812;0.0962077951321075;0.20900341921919413;6.23900526286169;44.63276440300208;4.158918542008278;164.90539693832397
